geoid,month,evictions
4013111000,2022-05,11
4013111000,2022-06,6
4013111000,2022-07,9
4013111000,2022-08,3
4013111000,2022-09,6
4013111000,2022-10,8
4013111000,2022-11,3
4013111000,2022-12,7
4013111000,2023-01,7
4013111000,2023-02,3
4013111000,2023-03,6
4013111000,2023-04,2
4013111000,2023-05,11
4013111000,2023-06,2
4013111000,2023-07,9
4013111000,2023-08,10
4013111000,2023-09,6
4013111000,2023-10,6
4013111000,2023-11,2
4013111000,2023-12,11
4013111000,2024-01,4
4013111000,2024-02,3
4013111000,2024-03,8
4013111000,2024-04,4
4013111000,2024-05,8
4013111000,2024-06,7
4013111000,2024-07,5
4013111000,2024-08,6
4013111000,2024-09,9
4013111000,2024-10,7
4013111000,2024-11,10
4013111000,2024-12,8
4013111100,2022-01,12
4013111100,2022-02,4
4013111100,2022-03,4
4013111100,2022-04,6
4013111100,2022-05,8
4013111100,2022-06,7
4013111100,2022-07,8
4013111100,2022-08,6
4013111100,2022-09,7
4013111100,2022-10,1
4013111100,2022-11,3
4013111100,2022-12,6
4013111100,2023-01,5
4013111100,2023-02,4
4013111100,2023-03,1
4013111100,2023-04,2
4013111100,2023-05,3
4013111100,2023-06,7
4013111100,2023-07,6
4013111100,2023-08,3
4013111100,2023-09,5
4013111100,2023-10,4
4013111100,2023-11,6
4013111100,2023-12,7
4013111100,2024-01,2
4013111100,2024-02,4
4013111100,2024-03,4
4013111100,2024-04,5
4013111100,2024-05,4
4013111100,2024-06,3
4013111100,2024-07,5
4013111100,2024-08,3
4013111100,2024-09,7
4013111100,2024-10,5
4013111100,2024-11,8
4013111100,2024-12,4
4013111201,2022-01,12
4013111201,2022-02,12
4013111201,2022-03,13
4013111201,2022-04,8
4013111201,2022-05,12
4013111201,2022-06,20
4013111201,2022-07,24
4013111201,2022-08,21
4013111201,2022-09,13
4013111201,2022-10,17
4013111201,2022-11,16
4013111201,2022-12,20
4013111201,2023-01,15
4013111201,2023-02,10
4013111201,2023-03,10
4013111201,2023-04,13
4013111201,2023-05,15
4013111201,2023-06,16
4013111201,2023-07,29
4013111201,2023-08,19
4013111201,2023-09,16
4013111201,2023-10,12
4013111201,2023-11,13
4013111201,2023-12,22
4013111201,2024-01,39
4013111201,2024-02,19
4013111201,2024-03,23
4013111201,2024-04,29
4013111201,2024-05,19
4013111201,2024-06,29
4013111201,2024-07,22
4013111201,2024-08,20
4013111201,2024-09,29
4013111201,2024-10,20
4013111201,2024-11,29
4013111201,2024-12,23
4013111202,2022-01,8
4013111202,2022-02,7
4013111202,2022-03,7
4013111202,2022-04,6
4013111202,2022-05,11
4013111202,2022-06,9
4013111202,2022-07,12
4013111202,2022-08,6
4013111202,2022-09,12
4013111202,2022-10,4
4013111202,2022-11,8
4013111202,2022-12,1
4013111202,2023-01,7
4013111202,2023-02,3
4013111202,2023-03,2
4013111202,2023-04,1
4013111202,2023-05,8
4013111202,2023-06,5
4013111202,2023-07,8
4013111202,2023-08,11
4013111202,2023-09,8
4013111202,2023-10,6
4013111202,2023-11,7
4013111202,2023-12,1
4013111202,2024-01,7
4013111202,2024-02,7
4013111202,2024-03,6
4013111202,2024-04,9
4013111202,2024-05,11
4013111202,2024-06,7
4013111202,2024-07,9
4013111202,2024-08,4
4013111202,2024-09,3
4013111202,2024-10,3
4013111202,2024-11,5
4013111202,2024-12,6
4013111203,2022-01,5
4013111203,2022-02,2
4013111203,2022-03,6
4013111203,2022-04,2
4013111203,2022-05,5
4013111203,2022-06,4
4013111203,2022-07,6
4013111203,2022-08,5
4013111203,2022-09,6
4013111203,2022-10,3
4013111203,2022-11,4
4013111203,2022-12,4
4013111203,2023-01,4
4013111203,2023-02,3
4013111203,2023-03,4
4013111203,2023-04,2
4013111203,2023-05,7
4013111203,2023-06,4
4013111203,2023-07,4
4013111203,2023-08,7
4013111203,2023-09,12
4013111203,2023-10,4
4013111203,2023-11,8
4013111203,2023-12,2
4013111203,2024-01,5
4013111203,2024-02,5
4013111203,2024-03,9
4013111203,2024-04,3
4013111203,2024-05,9
4013111203,2024-06,7
4013111203,2024-07,11
4013111203,2024-08,12
4013111203,2024-09,9
4013111203,2024-10,9
4013111203,2024-11,4
4013111203,2024-12,10
4013111204,2022-01,3
4013111204,2022-02,3
4013111204,2022-03,4
4013111204,2022-04,1
4013111204,2022-05,4
4013111204,2022-06,3
4013111204,2022-08,2
4013111204,2022-09,3
4013111204,2022-10,1
4013111204,2022-11,4
4013111204,2022-12,3
4013111204,2023-01,2
4013111204,2023-02,2
4013111204,2023-03,5
4013111204,2023-04,4
4013111204,2023-05,3
4013111204,2023-07,1
4013111204,2023-08,3
4013111204,2023-09,3
4013111204,2023-10,5
4013111204,2023-11,1
4013111204,2023-12,5
4013111204,2024-01,2
4013111204,2024-02,4
4013111204,2024-04,6
4013111204,2024-05,6
4013111204,2024-06,4
4013111204,2024-07,8
4013111204,2024-08,11
4013111204,2024-09,6
4013111204,2024-10,2
4013111204,2024-11,6
4013111204,2024-12,4
4013111300,2022-01,7
4013111300,2022-02,15
4013111300,2022-03,8
4013111300,2022-04,4
4013111300,2022-05,5
4013111300,2022-06,20
4013111300,2022-07,16
4013111300,2022-08,18
4013111300,2022-09,8
4013111300,2022-10,4
4013111300,2022-11,14
4013111300,2022-12,8
4013111300,2023-01,17
4013111300,2023-02,11
4013111300,2023-03,12
4013111300,2023-04,6
4013111300,2023-05,7
4013111300,2023-06,10
4013111300,2023-07,14
4013111300,2023-08,13
4013111300,2023-09,7
4013111300,2023-10,24
4013111300,2023-11,4
4013111300,2023-12,14
4013111300,2024-01,25
4013111300,2024-02,11
4013111300,2024-03,16
4013111300,2024-04,16
4013111300,2024-05,12
4013111300,2024-06,23
4013111300,2024-07,41
4013111300,2024-08,19
4013111300,2024-09,22
4013111300,2024-10,19
4013111300,2024-11,7
4013111300,2024-12,27
4013111401,2022-01,2
4013111401,2022-02,2
4013111401,2022-03,4
4013111401,2022-04,2
4013111401,2022-05,5
4013111401,2022-06,4
4013111401,2022-07,5
4013111401,2022-08,3
4013111401,2022-09,3
4013111401,2022-10,2
4013111401,2022-11,7
4013111401,2022-12,4
4013111401,2023-01,14
4013111401,2023-02,4
4013111401,2023-03,1
4013111401,2023-04,4
4013111401,2023-05,4
4013111401,2023-06,1
4013111401,2023-08,3
4013111401,2023-09,2
4013111401,2023-10,5
4013111401,2023-11,1
4013111401,2023-12,3
4013111401,2024-01,2
4013111401,2024-02,4
4013111401,2024-03,2
4013111401,2024-04,4
4013111401,2024-05,4
4013111401,2024-06,5
4013111401,2024-07,2
4013111401,2024-08,6
4013111401,2024-10,5
4013111401,2024-11,2
4013111401,2024-12,2
4013111402,2022-01,22
4013111402,2022-02,13
4013111402,2022-03,11
4013111402,2022-04,13
4013111402,2022-05,6
4013111402,2022-06,6
4013111402,2022-07,10
4013111402,2022-08,15
4013111402,2022-09,3
4013111402,2022-10,7
4013111402,2022-11,6
4013111402,2022-12,4
4013111402,2023-01,4
4013111402,2023-02,8
4013111402,2023-03,6
4013111402,2023-04,6
4013111402,2023-05,4
4013111402,2023-06,8
4013111402,2023-07,6
4013111402,2023-08,9
4013111402,2023-09,8
4013111402,2023-10,7
4013111402,2023-11,7
4013111402,2023-12,4
4013111402,2024-01,6
4013111402,2024-02,14
4013111402,2024-03,2
4013111402,2024-04,11
4013111402,2024-05,2
4013111402,2024-06,11
4013111402,2024-07,6
4013111402,2024-08,3
4013111402,2024-09,9
4013111402,2024-10,7
4013111402,2024-11,11
4013111402,2024-12,8
4013111501,2022-01,4
4013111501,2022-02,4
4013111501,2022-03,1
4013111501,2022-05,6
4013111501,2022-06,4
4013111501,2022-07,3
4013111501,2022-09,6
4013111501,2022-10,4
4013111501,2022-11,1
4013111501,2022-12,4
4013111501,2023-01,3
4013111501,2023-02,2
4013111501,2023-03,1
4013111501,2023-04,1
4013111501,2023-05,1
4013111501,2023-06,3
4013111501,2023-07,3
4013111501,2023-08,4
4013111501,2023-10,3
4013111501,2023-11,2
4013111501,2023-12,2
4013111501,2024-01,1
4013111501,2024-02,2
4013111501,2024-03,1
4013111501,2024-05,3
4013111501,2024-06,2
4013111501,2024-07,2
4013111501,2024-09,1
4013111501,2024-10,1
4013111501,2024-11,1
4013111501,2024-12,2
4013111502,2022-01,7
4013111502,2022-02,2
4013111502,2022-03,10
4013111502,2022-04,5
4013111502,2022-05,2
4013111502,2022-06,4
4013111502,2022-07,8
4013111502,2022-08,10
4013111502,2022-09,5
4013111502,2022-10,5
4013111502,2022-11,15
4013111502,2022-12,1
4013111502,2023-01,7
4013111502,2023-02,2
4013111502,2023-03,10
4013111502,2023-04,5
4013111502,2023-05,5
4013111502,2023-06,3
4013111502,2023-07,8
4013111502,2023-08,8
4013111502,2023-09,4
4013111502,2023-10,11
4013111502,2023-11,12
4013111502,2023-12,5
4013111502,2024-01,12
4013111502,2024-02,7
4013111502,2024-03,6
4013111502,2024-04,7
4013111502,2024-05,11
4013111502,2024-06,11
4013111502,2024-07,13
4013111502,2024-08,7
4013111502,2024-09,14
